,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
13,291443.0898,299264.566,277813.2301,279687.5145,288381.5554,247918.9171,329863.9812,322576.0032,323288.5984,331538.0323,84418.02822,95875.85343,0,15774.22089,85904.89068,68379.20835,59271.74948,316672.7089,346633.3768,279283.7486,279162.2538,261549.1261,296100.5029,310693.3208,327435.9561,47045.35298,24422.2158,24365.0964,20864.5235,297484.3869,284838.658,257783.5014,176987.4201
14,307217.3106,315038.7869,293587.451,295461.7354,304155.7763,263693.138,345638.2021,338350.224,339062.8193,347312.2532,100192.2491,111650.0743,15774.22089,0,101679.1116,84153.42924,75045.97037,332446.9298,362407.5977,295057.9695,294936.4747,277323.347,311874.7237,326467.5416,343210.177,62819.57387,17833.58939,40139.31728,36638.74439,313258.6078,300612.8789,273557.7223,192761.641
15,205538.1991,213359.6753,191908.3394,193782.6238,202476.6648,162014.0264,243959.0906,236671.1125,237383.7077,245633.1417,23455.97345,34913.79866,85904.89068,101679.1116,0,128484.2169,119376.7581,230767.8182,260728.4861,193378.8579,193257.3632,175644.2354,210195.6122,224788.4301,241531.0654,107150.3616,110327.1065,84470.10499,65040.36718,211579.4963,198933.7673,171878.6107,91082.52939
16,334022.416,341843.8922,320392.5564,322266.8408,330960.8817,290498.2434,372443.3075,365155.3294,365867.9247,374117.3586,126997.3545,138455.1797,68379.20835,84153.42924,128484.2169,0,11239.56474,359252.0352,389212.7031,321863.0749,321741.5801,304128.4523,338679.8291,353272.647,370015.2824,44468.97599,92801.42415,44536.30646,63443.84977,340063.7132,327417.9843,300362.8276,219566.7463
17,324914.9572,332736.4334,311285.0975,313159.3819,321853.4228,281390.7845,363335.8486,356047.8706,356760.4658,365009.8997,117889.8956,129347.7208,59271.74948,75045.97037,119376.7581,11239.56474,0,350144.5763,380105.2442,312755.616,312634.1212,295020.9935,329572.3702,344165.1881,360907.8235,35361.51712,83693.96528,35428.84759,54336.3909,330956.2543,318310.5254,291255.3688,210459.2875
18,74802.30967,82623.78588,61172.45002,63046.73442,44226.46928,77709.76201,83532.09605,76244.11796,76956.71322,85206.14715,254223.7917,265681.6169,316672.7089,332446.9298,230767.8182,359252.0352,350144.5763,0,100301.4916,48107.17352,62521.47375,77709.25828,49768.61766,64361.43556,81104.0709,337918.1798,341094.9247,315237.9232,295808.1854,19521.25168,38506.77281,58889.20752,140411.8633
19,104762.9776,112584.4538,91133.11793,93007.40233,74187.1372,107670.4299,37219.01093,29931.03284,23344.77838,30365.85839,284184.4596,295642.2848,346633.3768,362407.5977,260728.4861,389212.7031,380105.2442,100301.4916,0,78067.84143,92482.14166,107669.9262,59182.89195,55188.3579,59589.38517,367878.8477,371055.5926,345198.5911,325768.8533,81113.16965,61794.7188,88849.87543,170372.5312
20,37413.34938,45234.8256,23783.48973,25657.77413,19816.02008,40320.80173,61298.44587,54010.46779,54723.06305,62972.49697,216834.8314,228292.6566,279283.7486,295057.9695,193378.8579,321863.0749,312755.616,48107.17352,78067.84143,0,25132.51346,40320.29799,27534.96749,42127.78539,58870.42072,300529.2195,303705.9644,277848.9629,258419.2251,28918.85157,16273.12264,21500.24723,103022.903
21,23535.98351,31357.45972,9906.123863,16344.23997,34230.32031,40199.30697,75712.7461,68424.76802,69137.36328,77386.7972,216713.3366,228171.1618,279162.2538,294936.4747,193257.3632,321741.5801,312634.1212,62521.47375,92482.14166,25132.51346,0,40198.80323,41949.26772,56542.08562,73284.72095,300407.7247,303584.4696,277727.4682,258297.7303,43333.15179,30687.42287,21378.75247,102901.4082
22,52479.63915,60301.11537,38849.7795,40724.0639,49418.10484,22586.17919,90900.53063,83612.55255,84325.14781,92574.58173,199100.2088,210558.034,261549.1261,277323.347,175644.2354,304128.4523,295020.9935,77709.25828,107669.9262,40320.29799,40198.80323,0,57137.05225,71729.87015,88472.50548,282794.597,285971.3419,260114.3404,240684.6026,58520.93633,45875.2074,18820.05076,85288.28047
23,54230.10363,62051.57985,40600.24399,42474.52839,23654.26325,57137.55598,42413.49639,35125.5183,35838.11356,44087.54749,233651.5856,245109.4108,296100.5029,311874.7237,210195.6122,338679.8291,329572.3702,49768.61766,59182.89195,27534.96749,41949.26772,57137.05225,0,23242.8359,39985.47124,317345.9737,320522.7187,294665.7172,275235.9794,30580.2957,11261.84485,38317.00148,119839.6573
24,68822.92153,76644.39775,55193.06189,57067.34628,38247.08115,71730.37388,38418.96234,31130.98425,31843.57951,40093.01344,248244.4035,259702.2287,310693.3208,326467.5416,224788.4301,353272.647,344165.1881,64361.43556,55188.3579,42127.78539,56542.08562,71729.87015,23242.8359,0,35990.93719,331938.7916,335115.5366,309258.5351,289828.7973,45173.1136,25854.66275,52909.81938,134432.4752
25,85565.55687,93387.03308,71935.69722,73809.98162,54989.71648,88473.00921,42819.9896,35532.01152,36244.60678,44494.04071,264987.0389,276444.8641,327435.9561,343210.177,241531.0654,370015.2824,360907.8235,81104.0709,59589.38517,58870.42072,73284.72095,88472.50548,39985.47124,35990.93719,0,348681.427,351858.1719,326001.1704,306571.4326,61915.74894,42597.29809,69652.45472,151175.1105
26,312688.5607,320510.0369,299058.701,300932.9854,309627.0263,269164.388,351109.4521,343821.474,344534.0693,352783.5032,105663.4991,117121.3243,47045.35298,62819.57387,107150.3616,44468.97599,35361.51712,337918.1798,367878.8477,300529.2195,300407.7247,282794.597,317345.9737,331938.7916,348681.427,0,71467.56878,23202.45109,42109.9944,318729.8578,306084.1289,279028.9723,198232.891
27,315865.3056,323686.7818,302235.4459,304109.7303,312803.7712,272341.1329,354286.197,346998.219,347710.8142,355960.2481,108840.244,120298.0692,24422.2158,17833.58939,110327.1065,92801.42415,83693.96528,341094.9247,371055.5926,303705.9644,303584.4696,285971.3419,320522.7187,335115.5366,351858.1719,71467.56878,0,48787.3122,45286.73931,321906.6027,309260.8738,282205.7172,201409.6359
28,290008.3041,297829.7803,276378.4444,278252.7288,286946.7698,246484.1314,328429.1956,321141.2175,321853.8127,330103.2467,82983.24253,94441.06774,24365.0964,40139.31728,84470.10499,44536.30646,35428.84759,315237.9232,345198.5911,277848.9629,277727.4682,260114.3404,294665.7172,309258.5351,326001.1704,23202.45109,48787.3122,0,19429.73781,296049.6012,283403.8723,256348.7157,175552.6344
29,270578.5663,278400.0425,256948.7066,258822.991,267517.0319,227054.3936,308999.4577,301711.4797,302424.0749,310673.5088,63553.50472,75011.32993,20864.5235,36638.74439,65040.36718,63443.84977,54336.3909,295808.1854,325768.8533,258419.2251,258297.7303,240684.6026,275235.9794,289828.7973,306571.4326,42109.9944,45286.73931,19429.73781,0,276619.8634,263974.1345,236918.9779,156122.8966
30,55613.98771,63435.46393,41984.12806,43858.41246,25038.14733,58521.44006,64343.77409,57055.79601,57768.39127,66017.82519,235035.4697,246493.2949,297484.3869,313258.6078,211579.4963,340063.7132,330956.2543,19521.25168,81113.16965,28918.85157,43333.15179,58520.93633,30580.2957,45173.1136,61915.74894,318729.8578,321906.6027,296049.6012,276619.8634,0,19318.45086,39700.88556,121223.5413
